site,treatment,quadrat,height,latitude,longitude,day,month,year,slope,aspect,substrate,relief,observer,species_code,square,measurement,measurement_type,entered_by,checked_by,season
Coughlin,Control,6,Low,42.361445,70.976022,31,10,2023,-2,268,Sand,NA,Laura,AHPL,21,1,Percent Cover,Colette Carter,CTC IKC,fall_23
Bayside,Berm,6,Low,42.323377,71.045463,13,11,2023,2,15,Gravel,Flat,Curtis,ASNO,21,0.1,Percent Cover,Laura,"BM, IKC",fall_23
Coughlin,Berm,4,Low,42.363271,70.975568,26,10,2023,-3,295,Mud,Low,Liana + Anh,BOSC,20,0.5,Percent Cover,Liana,CTC BJM,fall_23
Coughlin,Berm,4,Low,42.363271,70.975568,26,10,2023,-3,295,Mud,Low,Liana + Anh,BOSC,24,0.5,Percent Cover,Liana,CTC BJM,fall_23
Coughlin,Berm,4,Low,42.363271,70.975568,26,10,2023,-3,295,Mud,Low,Liana + Anh,BOSC,25,0.1,Percent Cover,Liana,CTC BJM,fall_23
Coughlin,Berm,6,Low,42.363396,70.975496,26,10,2023,-3,297,Mud,Flat,Laura,BOSC,12,0.1,Percent Cover,NA,CTC BJM,fall_23
Bayside,Control,4,Low,42.322015,71.043099,13,11,2023,-5,70,Cobble,Low,Laura,BOVI,11,1,Percent Cover,Laura,"BM, IKC",fall_23
Coughlin,Berm,2,Low,42.363137,70.975671,26,10,2023,-2,296,Mud,Flat,Laura,BOVI,8,1,Percent Cover,Liana,CTC BJM,fall_23
Coughlin,Berm,4,Low,42.363271,70.975568,26,10,2023,-3,295,Mud,Low,Liana + Anh,BOVI,14,1,Percent Cover,Liana,CTC BJM,fall_23
Coughlin,Berm,6,Low,42.363396,70.975496,26,10,2023,-3,297,Mud,Flat,Laura,BOVI,3,1,Percent Cover,NA,CTC BJM,fall_23
Coughlin,Berm,6,Low,42.363396,70.975496,26,10,2023,-3,297,Mud,Flat,Laura,BOVI,13,0.1,Percent Cover,NA,CTC BJM,fall_23
Coughlin,Control,6,Low,42.361445,70.976022,31,10,2023,-2,268,Sand,NA,Laura,BOVI,15,1,Percent Cover,Colette Carter,CTC IKC,fall_23
Bayside,Berm,3,Low,42.323316,71.045267,13,11,2023,-9,19,Cobble,Low,Laura,CRFO,5,1,Count,Laura,"BM, IKC",fall_23
Bayside,Berm,3,Low,42.323316,71.045267,13,11,2023,-9,19,Cobble,Low,Laura,CRFO,7,2,Count,Laura,"BM, IKC",fall_23
Bayside,Berm,3,Low,42.323316,71.045267,13,11,2023,-9,19,Cobble,Low,Laura,CRFO,8,1,Count,Laura,"BM, IKC",fall_23
Bayside,Berm,4,Low,42.323297,71.045218,13,11,2023,-9,19,Cobble,Low,Laura,CRFO,1,1,Count,Laura,"BM, IKC",fall_23
Bayside,Berm,4,Low,42.323297,71.045218,13,11,2023,-9,19,Cobble,Low,Laura,CRFO,3,1,Count,Laura,"BM, IKC",fall_23
Bayside,Berm,4,Low,42.323297,71.045218,13,11,2023,-9,19,Cobble,Low,Laura,CRFO,11,2,Count,Laura,"BM, IKC",fall_23
Bayside,Berm,4,Low,42.323297,71.045218,13,11,2023,-9,19,Cobble,Low,Laura,CRFO,18,1,Count,Laura,"BM, IKC",fall_23
Bayside,Berm,5,Low,42.323319,71.045526,13,11,2023,2,15,Gravel,Flat,Curtis,CRFO,7,1,Count,Laura,"BM, IKC",fall_23
Bayside,Berm,6,Low,42.323377,71.045463,13,11,2023,2,15,Gravel,Flat,Curtis,CRFO,1,5,Count,Laura,"BM, IKC",fall_23
Bayside,Berm,6,Low,42.323377,71.045463,13,11,2023,2,15,Gravel,Flat,Curtis,CRFO,10,1,Count,Laura,"BM, IKC",fall_23
Bayside,Berm,6,Low,42.323377,71.045463,13,11,2023,2,15,Gravel,Flat,Curtis,CRFO,20,1,Count,Laura,"BM, IKC",fall_23
Bayside,Control,3,Low,42.32205,71.043234,13,11,2023,3,70,Cobble,Low,Curtis,CRFO,1,1,Count,Laura,"BM, IKC",fall_23
Bayside,Control,3,Low,42.32205,71.043234,13,11,2023,3,70,Cobble,Low,Curtis,CRFO,2,1,Count,Laura,"BM, IKC",fall_23
Bayside,Control,4,Low,42.322015,71.043099,13,11,2023,-5,70,Cobble,Low,Laura,CRFO,1,1,Count,Laura,"BM, IKC",fall_23
Bayside,Control,4,Low,42.322015,71.043099,13,11,2023,-5,70,Cobble,Low,Laura,CRFO,20,2,Count,Laura,"BM, IKC",fall_23
Bayside,Control,5,Low,42.322196,71.043268,13,11,2023,-7,81,Gravel,Low,Laura,CRFO,18,1,Count,Laura,"BM, IKC",fall_23
Bayside,Control,6,Low,42.322137,71.043182,13,11,2023,-7,71,Cobble,NA,Laura,CRFO,21,1,Count,Laura,"BM, IKC",fall_23
Coughlin,Berm,1,High,42.363069,70.975459,26,10,2023,-3,295,Mud,Low,Laura,CRFO,13,1,Count,Liana,CTC BJM,fall_23
Coughlin,Berm,1,High,42.363069,70.975459,26,10,2023,-3,295,Mud,Low,Laura,CRFO,14,1,Count,Liana,CTC BJM,fall_23
Coughlin,Berm,1,Mid,42.363017,70.975621,26,10,2023,-3,295,Mud,Flat,Laura,CRFO,8,2,Count,Liana,CTC BJM,fall_23
Coughlin,Berm,1,Mid,42.363017,70.975621,26,10,2023,-3,295,Mud,Flat,Laura,CRFO,9,2,Count,Liana,CTC BJM,fall_23
Coughlin,Berm,2,High,42.363026,70.975402,26,10,2023,-3,295,Mud,Flat,Laura,CRFO,18,1,Count,NA,CTC BJM,fall_23
Coughlin,Berm,2,High,42.363026,70.975402,26,10,2023,-3,295,Mud,Flat,Laura,CRFO,19,1,Count,NA,CTC BJM,fall_23
Coughlin,Berm,2,Low,42.363137,70.975671,26,10,2023,-2,296,Mud,Flat,Laura,CRFO,5,5,Count,Liana,CTC BJM,fall_23
Coughlin,Berm,2,Low,42.363137,70.975671,26,10,2023,-2,296,Mud,Flat,Laura,CRFO,10,1,Count,Liana,CTC BJM,fall_23
Coughlin,Berm,2,Low,42.363137,70.975671,26,10,2023,-2,296,Mud,Flat,Laura,CRFO,11,4,Count,Liana,CTC BJM,fall_23
Coughlin,Berm,2,Low,42.363137,70.975671,26,10,2023,-2,296,Mud,Flat,Laura,CRFO,17,2,Count,Liana,CTC BJM,fall_23
Coughlin,Berm,2,Mid,42.363079,70.975588,26,10,2023,-3,295,Mud,Flat,Laura,CRFO,18,1,Count,Liana,CTC BJM,fall_23
Coughlin,Berm,2,Mid,42.363079,70.975588,26,10,2023,-3,295,Mud,Flat,Laura,CRFO,20,1,Count,Liana,CTC BJM,fall_23
Coughlin,Berm,3,Low,42.363179,70.975608,26,10,2023,-3,295,Mud,Low,liana + Anh,CRFO,13,1,Count,Liana,CTC BJM,fall_23
Coughlin,Berm,3,Low,42.363179,70.975608,26,10,2023,-3,295,Mud,Low,liana + Anh,CRFO,18,1,Count,Liana,CTC BJM,fall_23
Coughlin,Berm,3,Low,42.363179,70.975608,26,10,2023,-3,295,Mud,Low,liana + Anh,CRFO,19,1,Count,Liana,CTC BJM,fall_23
Coughlin,Berm,3,Low,42.363179,70.975608,26,10,2023,-3,295,Mud,Low,liana + Anh,CRFO,20,2,Count,Liana,CTC BJM,fall_23
Coughlin,Berm,3,Low,42.363179,70.975608,26,10,2023,-3,295,Mud,Low,liana + Anh,CRFO,22,2,Count,Liana,CTC BJM,fall_23
Coughlin,Berm,3,Mid,42.363178,70.975476,26,10,2023,-3,295,Mud,Low,Liana + Anh,CRFO,5,1,Count,Liana,CTC BJM,fall_23
Coughlin,Berm,3,Mid,42.363178,70.975476,26,10,2023,-3,295,Mud,Low,Liana + Anh,CRFO,21,1,Count,Liana,CTC BJM,fall_23
Coughlin,Berm,3,Mid,42.363178,70.975476,26,10,2023,-3,295,Mud,Low,Liana + Anh,CRFO,23,1,Count,Liana,CTC BJM,fall_23
Coughlin,Berm,3,Mid,42.363178,70.975476,26,10,2023,-3,295,Mud,Low,Liana + Anh,CRFO,25,1,Count,Liana,CTC BJM,fall_23
Coughlin,Berm,4,High,42.363112,70.975353,26,10,2023,-3,295,Mud,Flat,Liana + Anh,CRFO,2,1,Count,Liana,CTC BJM,fall_23
Coughlin,Berm,4,High,42.363112,70.975353,26,10,2023,-3,295,Mud,Flat,Liana + Anh,CRFO,5,1,Count,Liana,CTC BJM,fall_23
Coughlin,Berm,4,High,42.363112,70.975353,26,10,2023,-3,295,Mud,Flat,Liana + Anh,CRFO,8,2,Count,Liana,CTC BJM,fall_23
Coughlin,Berm,4,High,42.363112,70.975353,26,10,2023,-3,295,Mud,Flat,Liana + Anh,CRFO,9,1,Count,Liana,CTC BJM,fall_23
Coughlin,Berm,4,High,42.363112,70.975353,26,10,2023,-3,295,Mud,Flat,Liana + Anh,CRFO,10,1,Count,Liana,CTC BJM,fall_23
Coughlin,Berm,4,High,42.363112,70.975353,26,10,2023,-3,295,Mud,Flat,Liana + Anh,CRFO,15,1,Count,Liana,CTC BJM,fall_23
Coughlin,Berm,4,High,42.363112,70.975353,26,10,2023,-3,295,Mud,Flat,Liana + Anh,CRFO,20,1,Count,Liana,CTC BJM,fall_23
Coughlin,Berm,4,High,42.363112,70.975353,26,10,2023,-3,295,Mud,Flat,Liana + Anh,CRFO,23,1,Count,Liana,CTC BJM,fall_23
Coughlin,Berm,4,High,42.363112,70.975353,26,10,2023,-3,295,Mud,Flat,Liana + Anh,CRFO,25,2,Count,Liana,CTC BJM,fall_23
Coughlin,Berm,4,Low,42.363271,70.975568,26,10,2023,-3,295,Mud,Low,Liana + Anh,CRFO,8,1,Count,Liana,CTC BJM,fall_23
Coughlin,Berm,4,Low,42.363271,70.975568,26,10,2023,-3,295,Mud,Low,Liana + Anh,CRFO,11,4,Count,Liana,CTC BJM,fall_23
Coughlin,Berm,4,Low,42.363271,70.975568,26,10,2023,-3,295,Mud,Low,Liana + Anh,CRFO,12,2,Count,Liana,CTC BJM,fall_23
Coughlin,Berm,4,Low,42.363271,70.975568,26,10,2023,-3,295,Mud,Low,Liana + Anh,CRFO,13,4,Count,Liana,CTC BJM,fall_23
Coughlin,Berm,4,Low,42.363271,70.975568,26,10,2023,-3,295,Mud,Low,Liana + Anh,CRFO,14,2,Count,Liana,CTC BJM,fall_23
Coughlin,Berm,4,Low,42.363271,70.975568,26,10,2023,-3,295,Mud,Low,Liana + Anh,CRFO,17,2,Count,Liana,CTC BJM,fall_23
Coughlin,Berm,4,Low,42.363271,70.975568,26,10,2023,-3,295,Mud,Low,Liana + Anh,CRFO,18,2,Count,Liana,CTC BJM,fall_23
Coughlin,Berm,4,Low,42.363271,70.975568,26,10,2023,-3,295,Mud,Low,Liana + Anh,CRFO,19,1,Count,Liana,CTC BJM,fall_23
Coughlin,Berm,5,Low,42.363334,70.975523,26,10,2023,-3,295,Mud,Flat,Laura,CRFO,10,1,Count,NA,CTC BJM,fall_23
Coughlin,Berm,5,Low,42.363334,70.975523,26,10,2023,-3,295,Mud,Flat,Laura,CRFO,12,2,Count,NA,CTC BJM,fall_23
Coughlin,Berm,5,Low,42.363334,70.975523,26,10,2023,-3,295,Mud,Flat,Laura,CRFO,13,1,Count,NA,CTC BJM,fall_23
Coughlin,Berm,5,Low,42.363334,70.975523,26,10,2023,-3,295,Mud,Flat,Laura,CRFO,21,2,Count,NA,CTC BJM,fall_23
Coughlin,Berm,5,Low,42.363334,70.975523,26,10,2023,-3,295,Mud,Flat,Laura,CRFO,22,1,Count,NA,CTC BJM,fall_23
Coughlin,Berm,5,Low,42.363334,70.975523,26,10,2023,-3,295,Mud,Flat,Laura,CRFO,23,2,Count,NA,CTC BJM,fall_23
Coughlin,Berm,6,High,42.363222,70.975282000000007,26,10,2023,-3,295,Mud,Low,Liana + Anh,CRFO,2,2,Count,Liana,CTC BJM,fall_23
Coughlin,Berm,6,Low,42.363396,70.975496,26,10,2023,-3,297,Mud,Flat,Laura,CRFO,8,1,Count,NA,CTC BJM,fall_23
Coughlin,Berm,6,Low,42.363396,70.975496,26,10,2023,-3,297,Mud,Flat,Laura,CRFO,9,1,Count,NA,CTC BJM,fall_23
Coughlin,Berm,6,Low,42.363396,70.975496,26,10,2023,-3,297,Mud,Flat,Laura,CRFO,11,1,Count,NA,CTC BJM,fall_23
Coughlin,Berm,6,Low,42.363396,70.975496,26,10,2023,-3,297,Mud,Flat,Laura,CRFO,13,1,Count,NA,CTC BJM,fall_23
Coughlin,Berm,6,Low,42.363396,70.975496,26,10,2023,-3,297,Mud,Flat,Laura,CRFO,14,1,Count,NA,CTC BJM,fall_23
Coughlin,Berm,6,Low,42.363396,70.975496,26,10,2023,-3,297,Mud,Flat,Laura,CRFO,16,1,Count,NA,CTC BJM,fall_23
Coughlin,Berm,6,Low,42.363396,70.975496,26,10,2023,-3,297,Mud,Flat,Laura,CRFO,17,1,Count,NA,CTC BJM,fall_23
Coughlin,Berm,6,Mid,42.363289,70.975356,26,10,2023,-3,295,Mud,Flat,Laura,CRFO,24,1,Count,NA,CTC BJM,fall_23
Coughlin,Control,1,High,42.361221,70.975448,31,10,2023,-2,268,NA,NA,Liana GN,CRFO,14,6,Count,Colette Carter,CTC IKC,fall_23
Coughlin,Control,1,Low,42.361151,70.976078,31,10,2023,-2,268,NA,NA,Liana GN,CRFO,2,1,Count,Colette Carter,CTC IKC,fall_23
Coughlin,Control,1,Low,42.361151,70.976078,31,10,2023,-2,268,NA,NA,Liana GN,CRFO,3,1,Count,Colette Carter,CTC IKC,fall_23
Coughlin,Control,1,Low,42.361151,70.976078,31,10,2023,-2,268,NA,NA,Liana GN,CRFO,6,2,Count,Colette Carter,CTC IKC,fall_23
Coughlin,Control,1,Low,42.361151,70.976078,31,10,2023,-2,268,NA,NA,Liana GN,CRFO,21,2,Count,Colette Carter,CTC IKC,fall_23
Coughlin,Control,2,Low,42.361124,70.976017,31,10,2023,-2,268,NA,NA,Liana GN,CRFO,3,1,Count,Colette Carter,CTC IKC,fall_23
Coughlin,Control,2,Low,42.361124,70.976017,31,10,2023,-2,268,NA,NA,Liana GN,CRFO,4,1,Count,Colette Carter,CTC IKC,fall_23
Coughlin,Control,2,Low,42.361124,70.976017,31,10,2023,-2,268,NA,NA,Liana GN,CRFO,7,1,Count,Colette Carter,CTC IKC,fall_23
Coughlin,Control,2,Low,42.361124,70.976017,31,10,2023,-2,268,NA,NA,Liana GN,CRFO,11,3,Count,Colette Carter,CTC IKC,fall_23
Coughlin,Control,3,Low,42.361255,70.97612,31,10,2023,-2,268,NA,NA,Ann,CRFO,1,1,Count,Colette Carter,CTC IKC,fall_23
Coughlin,Control,3,Low,42.361255,70.97612,31,10,2023,-2,268,NA,NA,Ann,CRFO,4,3,Count,Colette Carter,CTC IKC,fall_23
Coughlin,Control,3,Low,42.361255,70.97612,31,10,2023,-2,268,NA,NA,Ann,CRFO,7,3,Count,Colette Carter,CTC IKC,fall_23
Coughlin,Control,3,Low,42.361255,70.97612,31,10,2023,-2,268,NA,NA,Ann,CRFO,9,2,Count,Colette Carter,CTC IKC,fall_23
Coughlin,Control,3,Low,42.361255,70.97612,31,10,2023,-2,268,NA,NA,Ann,CRFO,10,2,Count,Colette Carter,CTC IKC,fall_23
Coughlin,Control,3,Low,42.361255,70.97612,31,10,2023,-2,268,NA,NA,Ann,CRFO,12,1,Count,Colette Carter,CTC IKC,fall_23
Coughlin,Control,3,Low,42.361255,70.97612,31,10,2023,-2,268,NA,NA,Ann,CRFO,15,1,Count,Colette Carter,CTC IKC,fall_23
Coughlin,Control,3,Mid,42.361339,70.975623,NA,NA,NA,NA,NA,NA,NA,NA,CRFO,9,1,Count,Colette Carter,CTC IKC,fall_23
Coughlin,Control,3,Mid,42.361339,70.975623,NA,NA,NA,NA,NA,NA,NA,NA,CRFO,24,1,Count,Colette Carter,CTC IKC,fall_23
Coughlin,Control,4,Low,42.361308,70.976099,NA,NA,NA,NA,NA,NA,NA,NA,CRFO,5,1,Count,Colette Carter,CTC IKC,fall_23
Coughlin,Control,4,Low,42.361308,70.976099,NA,NA,NA,NA,NA,NA,NA,NA,CRFO,6,2,Count,Colette Carter,CTC IKC,fall_23
Coughlin,Control,4,Low,42.361308,70.976099,NA,NA,NA,NA,NA,NA,NA,NA,CRFO,8,1,Count,Colette Carter,CTC IKC,fall_23
Coughlin,Control,4,Low,42.361308,70.976099,NA,NA,NA,NA,NA,NA,NA,NA,CRFO,9,7,Count,Colette Carter,CTC IKC,fall_23
Coughlin,Control,4,Low,42.361308,70.976099,NA,NA,NA,NA,NA,NA,NA,NA,CRFO,14,2,Count,Colette Carter,CTC IKC,fall_23
Coughlin,Control,4,Low,42.361308,70.976099,NA,NA,NA,NA,NA,NA,NA,NA,CRFO,15,3,Count,Colette Carter,CTC IKC,fall_23
Coughlin,Control,4,Low,42.361308,70.976099,NA,NA,NA,NA,NA,NA,NA,NA,CRFO,16,1,Count,Colette Carter,CTC IKC,fall_23
Coughlin,Control,4,Low,42.361308,70.976099,NA,NA,NA,NA,NA,NA,NA,NA,CRFO,17,1,Count,Colette Carter,CTC IKC,fall_23
Coughlin,Control,4,Low,42.361308,70.976099,NA,NA,NA,NA,NA,NA,NA,NA,CRFO,19,1,Count,Colette Carter,CTC IKC,fall_23
Coughlin,Control,4,Low,42.361308,70.976099,NA,NA,NA,NA,NA,NA,NA,NA,CRFO,21,1,Count,Colette Carter,CTC IKC,fall_23
Coughlin,Control,4,Low,42.361308,70.976099,NA,NA,NA,NA,NA,NA,NA,NA,CRFO,25,1,Count,Colette Carter,CTC IKC,fall_23
Coughlin,Control,4,Mid,42.361356,70.975897,NA,NA,NA,NA,NA,NA,NA,NA,CRFO,15,1,Count,Colette Carter,CTC IKC,fall_23
Coughlin,Control,4,Mid,42.361356,70.975897,NA,NA,NA,NA,NA,NA,NA,NA,CRFO,17,1,Count,Colette Carter,CTC IKC,fall_23
Coughlin,Control,4,Mid,42.361356,70.975897,NA,NA,NA,NA,NA,NA,NA,NA,CRFO,21,1,Count,Colette Carter,CTC IKC,fall_23
Coughlin,Control,5,High,42.361454,70.975518,NA,NA,NA,NA,NA,NA,NA,NA,CRFO,20,1,Count,Colette Carter,CTC IKC,fall_23
Coughlin,Control,5,Low,42.361453,70.976142,31,10,2023,-2,268,Sand,Low,Laura,CRFO,4,1,Count,Colette Carter,CTC IKC,fall_23
Coughlin,Control,5,Low,42.361453,70.976142,31,10,2023,-2,268,Sand,Low,Laura,CRFO,8,1,Count,Colette Carter,CTC IKC,fall_23
Coughlin,Control,5,Low,42.361453,70.976142,31,10,2023,-2,268,Sand,Low,Laura,CRFO,21,1,Count,Colette Carter,CTC IKC,fall_23
Coughlin,Control,5,Low,42.361453,70.976142,31,10,2023,-2,268,Sand,Low,Laura,CRFO,25,1,Count,Colette Carter,CTC IKC,fall_23
Coughlin,Control,5,Mid,42.361503,70.975881,NA,NA,NA,NA,NA,NA,NA,NA,CRFO,11,1,Count,Colette Carter,CTC IKC,fall_23
Coughlin,Control,6,Low,42.361445,70.976022,31,10,2023,-2,268,Sand,NA,Laura,CRFO,1,1,Count,Colette Carter,CTC IKC,fall_23
Coughlin,Control,6,Low,42.361445,70.976022,31,10,2023,-2,268,Sand,NA,Laura,CRFO,7,1,Count,Colette Carter,CTC IKC,fall_23
Coughlin,Control,6,Low,42.361445,70.976022,31,10,2023,-2,268,Sand,NA,Laura,CRFO,10,2,Count,Colette Carter,CTC IKC,fall_23
Coughlin,Control,6,Low,42.361445,70.976022,31,10,2023,-2,268,Sand,NA,Laura,CRFO,13,3,Count,Colette Carter,CTC IKC,fall_23
Coughlin,Control,6,Low,42.361445,70.976022,31,10,2023,-2,268,Sand,NA,Laura,CRFO,14,1,Count,Colette Carter,CTC IKC,fall_23
Coughlin,Control,6,Low,42.361445,70.976022,31,10,2023,-2,268,Sand,NA,Laura,CRFO,15,2,Count,Colette Carter,CTC IKC,fall_23
Coughlin,Control,6,Low,42.361445,70.976022,31,10,2023,-2,268,Sand,NA,Laura,CRFO,16,1,Count,Colette Carter,CTC IKC,fall_23
Coughlin,Control,6,Low,42.361445,70.976022,31,10,2023,-2,268,Sand,NA,Laura,CRFO,19,1,Count,Colette Carter,CTC IKC,fall_23
Coughlin,Control,6,Low,42.361445,70.976022,31,10,2023,-2,268,Sand,NA,Laura,CRFO,25,2,Count,Colette Carter,CTC IKC,fall_23
Duxbury_Beach,Berm,2,Low,42.043653,70.640536,12,11,2023,2,260,Sand,Flat,Curtis,CRFO,3,3,Count,Laura,"BJM, IKC",fall_23
Duxbury_Beach,Berm,2,Low,42.043653,70.640536,12,11,2023,2,260,Sand,Flat,Curtis,CRFO,7,1,Count,Laura,"BJM, IKC",fall_23
Duxbury_Beach,Berm,2,Low,42.043653,70.640536,12,11,2023,2,260,Sand,Flat,Curtis,CRFO,20,2,Count,Laura,"BJM, IKC",fall_23
Duxbury_Beach,Berm,5,Low,42.043489,70.640372,12,11,2023,-5,233,Gravel,Low,Laua,CRFO,4,2,Count,Laura,"BJM, IKC",fall_23
Duxbury_Beach,Berm,5,Low,42.043489,70.640372,12,11,2023,-5,233,Gravel,Low,Laua,CRFO,6,1,Count,Laura,"BJM, IKC",fall_23
Duxbury_Beach,Berm,5,Low,42.043489,70.640372,12,11,2023,-5,233,Gravel,Low,Laua,CRFO,23,5,Count,Laura,"BJM, IKC",fall_23
Duxbury_Beach,Berm,6,Low,42.043404,70.640332,12,11,2023,-2,233,Gravel,Flat,Laura,CRFO,1,6,Count,Laura,"BJM, IKC",fall_23
Duxbury_Beach,Berm,6,Low,42.043404,70.640332,12,11,2023,-2,233,Gravel,Flat,Laura,CRFO,9,8,Count,Laura,"BJM, IKC",fall_23
Duxbury_Beach,Berm,6,Low,42.043404,70.640332,12,11,2023,-2,233,Gravel,Flat,Laura,CRFO,10,3,Count,Laura,"BJM, IKC",fall_23
Duxbury_Beach,Berm,6,Low,42.043404,70.640332,12,11,2023,-2,233,Gravel,Flat,Laura,CRFO,12,9,Count,Laura,"BJM, IKC",fall_23
Duxbury_Beach,Berm,6,Low,42.043404,70.640332,12,11,2023,-2,233,Gravel,Flat,Laura,CRFO,13,1,Count,Laura,"BJM, IKC",fall_23
Duxbury_Beach,Berm,6,Low,42.043404,70.640332,12,11,2023,-2,233,Gravel,Flat,Laura,CRFO,14,6,Count,Laura,"BJM, IKC",fall_23
Duxbury_Beach,Berm,6,Low,42.043404,70.640332,12,11,2023,-2,233,Gravel,Flat,Laura,CRFO,15,5,Count,Laura,"BJM, IKC",fall_23
Duxbury_Beach,Berm,6,Low,42.043404,70.640332,12,11,2023,-2,233,Gravel,Flat,Laura,CRFO,17,1,Count,Laura,"BJM, IKC",fall_23
Duxbury_Beach,Berm,6,Low,42.043404,70.640332,12,11,2023,-2,233,Gravel,Flat,Laura,CRFO,18,1,Count,Laura,"BJM, IKC",fall_23
Duxbury_Beach,Berm,6,Low,42.043404,70.640332,12,11,2023,-2,233,Gravel,Flat,Laura,CRFO,19,2,Count,Laura,"BJM, IKC",fall_23
Duxbury_Beach,Berm,6,Low,42.043404,70.640332,12,11,2023,-2,233,Gravel,Flat,Laura,CRFO,21,1,Count,Laura,"BJM, IKC",fall_23
Duxbury_Beach,Berm,6,Low,42.043404,70.640332,12,11,2023,-2,233,Gravel,Flat,Laura,CRFO,23,1,Count,Laura,"BJM, IKC",fall_23
Duxbury_Beach,Berm,6,Low,42.043404,70.640332,12,11,2023,-2,233,Gravel,Flat,Laura,CRFO,24,3,Count,Laura,"BJM, IKC",fall_23
Duxbury_Beach,Berm,6,Low,42.043404,70.640332,12,11,2023,-2,233,Gravel,Flat,Laura,CRFO,25,4,Count,Laura,"BJM, IKC",fall_23
Duxbury_Beach,Berm,6,Mid,42.043461,70.640284,12,11,2023,-5,233,Sand,Low,LD,CRFO,12,1,Count,IKC,"BJM, IKC",fall_23
Duxbury_Beach,Control,5,Low,42.040016,70.637395,12,11,2023,-2,240,Sand,Flat,Laura,CRFO,23,1,Count,Laura,"BJM, IKC",fall_23
