kingdom,phylum,class,order,family,genus,species,aphia_id,classification_description,code,functional_group,common_name
Animalia,Chordata,Ascidiacea,Aplousobranchia,Polyclinidae,Aplidium,pallidum,103658,Aplidium pallidum,APPA,NA,NA
Animalia,Chordata,Ascidiacea,Aplousobranchia,Polyclinidae,Aplidium,pellucidum,236662,Aplidium pellucidum,APPE,NA,NA
Animalia,Chordata,Ascidiacea,Aplousobranchia,Polyclinidae,Aplidium,-,103471,Aplidium spp.,APSP,NA,NA
Animalia,Chordata,Ascidiacea,Aplousobranchia,Polyclinidae,Aplidium,stellatum,251739,Aplidium stellatum,APST,NA,NA
Animalia,Chordata,Ascidiacea,Phlebobranchia,Ascidiidae,Ascidia,callosa,103700,Ascidia callosa,ASCA,NA,NA
Animalia,Chordata,Ascidiacea,Phlebobranchia,Ascidiidae,Ascidia,prunum,103714,Ascidia prunum,ASPR,NA,NA
Animalia,Chordata,Ascidiacea,Phlebobranchia,Ascidiidae,Ascidia,-,103483,Ascidia spp,ASSP,NA,NA
Animalia,Chordata,Ascidiacea,Phlebobranchia,Ascidiidae,Ascidiella,aspersa,103718,Ascidiella aspersa,ASAS,NA,NA
Animalia,Chordata,Ascidiacea,Phlebobranchia,Cionidae,Ciona,intestinalis,103732,Ciona intesinalis,CIIN,NA,Sea Vase
Animalia,Chordata,Ascidiacea,Phlebobranchia,Cionidae,Ciona,savignyi,250292,Ciona savignyi,CISA,NA,NA
Animalia,Chordata,Ascidiacea,Stolidobranchia,Molgulidae,Bostrichobranchus,pilularis,157861,Bostrichobranchus pilularis,BOPI,NA,NA
Animalia,Chordata,Ascidiacea,Stolidobranchia,Molgulidae,Molgula,arenata,158505,Molgula arenata,MOAR,NA,NA
Animalia,Chordata,Ascidiacea,Stolidobranchia,Molgulidae,Molgula,citrina,103775,Molgula citrina,MOCI,NA,NA
Animalia,Chordata,Ascidiacea,Stolidobranchia,Molgulidae,Molgula,complanata,103776,Molgula complanata,MOCO,NA,NA
Animalia,Chordata,Ascidiacea,Stolidobranchia,Molgulidae,Molgula,manhattensis,103788,Molgula manhattensis,MOMA,NA,NA
Animalia,Chordata,Ascidiacea,Stolidobranchia,Molgulidae,Molgula,provisionalis,103796,Molgula provisionalia,MOPR,NA,NA
Animalia,Chordata,Ascidiacea,Stolidobranchia,Molgulidae,Molgula,retortiformis,103796,Molgula retortiformis,MORE,NA,NA
Animalia,Chordata,Ascidiacea,Stolidobranchia,Molgulidae,Molgula,siphonalis,103802,Molgula siphonalis,MOSI,NA,NA
Animalia,Chordata,Ascidiacea,Stolidobranchia,Molgulidae,Molgula,-,103509,Molgula spp.,MOSP,NA,NA
Animalia,Chordata,Ascidiacea,Stolidobranchia,Pyuridae,Boltenia,echinata,103814,Boltenia echinata,BOEC,NA,stalked tunicate
Animalia,Chordata,Ascidiacea,Stolidobranchia,Pyuridae,Boltenia,ovifera,103815,Boltenia ovifera,BOOV,NA,stalked sea peach
Animalia,Chordata,Ascidiacea,Stolidobranchia,Pyuridae,Halocynthia,pyriformis,103828,Halocynthia pyriformis,HAPY,NA,sea peach
Animalia,Chordata,Ascidiacea,Stolidobranchia,Styelidae,Botrylloides,diegensis,252278,Botrylloides diegensis,BODI,NA,NA
Animalia,Chordata,Ascidiacea,Stolidobranchia,Styelidae,Botrylloides,violaceus,148715,Botrylloides violaceus,BOVI,NA,orange sheath tunicate
Animalia,Chordata,Ascidiacea,Stolidobranchia,Styelidae,Botryllus,schlosseri,103862,Botryllus schlosseri,BOSC,NA,golden star tunicate
Animalia,Chordata,Ascidiacea,Stolidobranchia,Styelidae,Dendrodoa,carnea,103881,Dendrodoa carnea,DECA,NA,northern white crust
Animalia,Chordata,Ascidiacea,Stolidobranchia,Styelidae,Styela,canopus,103926,Styela canopus,STCA,NA,NA
Animalia,Chordata,Ascidiacea,Stolidobranchia,Styelidae,Styela,clava,103929,Styela clava,STCL,NA,club tunicate
Animalia,Chordata,Elasmobranchii,Rajiformes,-,-,-,10216,Order Rajiformes,ORAJ,NA,NA
Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,Leucoraja,erinaceus,1577339,Leucoraja erinaceus,LEER,NA,Little Skate
Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,Leucoraja,ocellata,158553,Leucoraja ocellata,LEOC,NA,Winter Skate
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,acanthias,105923,Squalus acanthias,SQAC,NA,Spiny Dogfish
Animalia,Chordata,Teleostei,-,-,-,-,293496,unidentified teleost fish,UFIS,NA,NA
Animalia,Chordata,Teleostei,Anguilliformes,Anguillidae,Anguilla,rostrata,158562,Anguilla rostrata,ANRO,NA,american eel
Animalia,Chordata,Teleostei,Atheriniformes,Atherinopsidae,Menidia,-,159225,Menidia sp.,MESP,NA,silversides
Animalia,Chordata,Teleostei,Clupeiformes,Alosidae,Alosa,-,125715,Alosa spp.,ALSP,NA,shad
Animalia,Chordata,Teleostei,Cyprinodontiformes,Fundulidae,Fundulus,confluentus,159294,Fundulus confluentus,FUCO,NA,Marsh killifish
Animalia,Chordata,Teleostei,Cyprinodontiformes,Fundulidae,Fundulus,heteroclitus,159306,Fundulus heteroclitus,FUHE,NA,mummichog
Animalia,Chordata,Teleostei,Cyprinodontiformes,Fundulidae,Fundulus,majalis,159308,Fundulus majalis,FUMA,NA,striped killifish
Animalia,Chordata,Teleostei,Cyprinodontiformes,Fundulidae,Fundulus,-,159292,Fundulus sp.,FUNS,NA,killifish
Animalia,Chordata,Teleostei,Eupercaria,Labridae,Tautoga,onitis,158830,Tautoga onitis,TAON,NA,Tautog or Blackfish
Animalia,Chordata,Teleostei,Eupercaria,Labridae,Tautogolabrus,adspersus,159785,Tautogolabrus adspersus,TAAD,NA,Cunner
Animalia,Chordata,Teleostei,Eupercaria_(incertae sedis),Moronidae,Morone,saxatilis,151179,Morone saxatilis,MOSA,NA,Striped Bass
Animalia,Chordata,Teleostei,Eupercaris_(incertae sedis),Sparidae,Stenotomus,chrysops,159811,Stenotomus chrysops,STCH,NA,Scup/porgy
Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,morhua,126436,Gadus morhua,GAMO,NA,Atlantic cod
Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Melanogrammus,aeglefinus,126437,Melanogrammus aeglefinus,MEAE,NA,haddock
Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Pollachius,virens,126441,Pollachius virens,POVI,NA,Pollock
Animalia,Chordata,Teleostei,Gadiformes,Merlucciidae,Merluccius,bilinearis,158962,Merluccius bilinearis,MEBI,NA,silver hake/whiting
Animalia,Chordata,Teleostei,Gadiformes,Phycidae,Urophycis,regia,158991,Urophycis regia,URRE,NA,Spotted Hake
Animalia,Chordata,Teleostei,Perciformes,Anarhichadidae,Anarhichas,lupus,126758,Anarhichas lupus,ANLU,NA,wolffish
Animalia,Chordata,Teleostei,Perciformes,Cottidae,Myoxocephalus,aenaeus,159519,Myoxocephalus aenaeus,MYAE,NA,Grubby sculpin
Animalia,Chordata,Teleostei,Perciformes,Cottidae,Myoxocephalus,octodecemspinosus,159520,Myoxocephalus octodecemspinosus,MYOC,NA,Long horned sculpin
Animalia,Chordata,Teleostei,Perciformes,Cottidae,Myoxocephalus,scorpius,127203,Myoxocephalus scorpius,MYSC,NA,Short horned sculpin
Animalia,Chordata,Teleostei,Perciformes,Cottidae,Myoxocephalus,-,126152,Myoxocephalus sp.,MYSP,NA,Sculpin
Animalia,Chordata,Teleostei,Perciformes,Cyclopteridae,Cyclopterus,lumpus,127214,Cyclopterus lumpus,CYLU,NA,lumpfish
Animalia,Chordata,Teleostei,Perciformes,Cyclopteridae,Eumicrotremus,spinosus,127217,Eumicrotremus spinosus,EUSP,NA,spiny lumpsucker
Animalia,Chordata,Teleostei,Perciformes,Hemitripteridae,Hemitripterus,americanus,159518,Hemitripterus americanus,HEAM,NA,Sea raven
Animalia,Chordata,Teleostei,Perciformes,Pholidae,Pholis,gunnellus,126996,Pholis gunnellus,PHGU,NA,Rock gunnel
Animalia,Chordata,Teleostei,Perciformes,Sebastidae,Sebastes,fasciatus,127252,Sebastes fasciatus,SEFA,NA,acadian redfish
Animalia,Chordata,Teleostei,Perciformes,Serranidae,Centropristis,striata,159348,Centropristis striata,CEST,NA,black sea bass
Animalia,Chordata,Teleostei,Perciformes,Stichaeidae,Lumpenus,lampretaeformis,154675,Lumpenus lampretaeformis,LULA,NA,Snake Blenny
Animalia,Chordata,Teleostei,Perciformes,Stichaeidae,Stichaeus,punctatus,159819,Stichaeus punctatus,STPU,NA,Artic shanny
Animalia,Chordata,Teleostei,Perciformes,Stichaeidae,Ulvaria,subbifurcata,159821,Ulvaria subbifurcata,ULSU,NA,Shanny
Animalia,Chordata,Teleostei,Perciformes,Triglidae,Prionotus,carolinus,159571,Prionotus carolinus,PRCA,NA,northern sea robin
Animalia,Chordata,Teleostei,Perciformes,Zoarcidae,Zoarces,americanus,159267,Zoarces americanus,ZOAM,NA,ocean pout/congo eel
Animalia,Chordata,Teleostei,Pleuronectiformes,-,-,-,10331,Flatfish,OPLE,NA,NA
Animalia,Chordata,Teleostei,Pleuronectiformes,Paralichthyidae,Etropus,microstomus,158801,Etropus microstomus,ETMI,NA,Smallmouth flounder
Animalia,Chordata,Teleostei,Pleuronectiformes,Paralichthyidae,Hippoglossina,oblonga,158833,Hippoglossina oblonga,PAOB,NA,fourspot flounder
Animalia,Chordata,Teleostei,Pleuronectiformes,Paralichthyidae,Paralichthys,dentatus,158826,Paralichthys dentatus,PADE,NA,Summer Flounder
Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Limanda,ferruginea,158879,Limanda ferruginea,LIFE,NA,Yellow tailed flounder
Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Pseudopleuronectes,americanus,158885,Pseudopleuronectes americanus,PSAM,NA,Winter flounder
Animalia,Chordata,Teleostei,Pleuronectiformes,Scophthalmidae,Scophthalmus,aquosus,158907,Scophthalmus aquosus,SCAQ,NA,windowpane flounder
Animalia,Chordata,Teleostei,Scombriformes,Pomatomidae,Pomatomus,saltatrix,151482,Pomatomus saltatrix,POSA,NA,Bluefish
Animalia,Chordata,Teleostei,Syngnathiformes,Syngnathidae,Syngnathus,fuscus,159451,Syngnathus fuscus,SYFU,NA,northern pipefish
Animalia,Chordata,Teleostei,Tetradontiformes,Tetradontidae,Sphoeroides,maculatus,158934,Sphoeroides maculatus,SPMA,NA,Northern Puffer
Animalia,Cnidaria,-,-,-,-,-,1267,"Unknown Cnidarian sessile (incl anenomenes, hydroids, corals, and similar)",UCNS,NA,NA
Animalia,Cnidaria,Anthozoa,Scleractinia,Astrangiidae,Astrangia,poculata,157967,Astrangia poculata,ASPO,NA,NA
Animalia,Cnidaria,Hexacorallia,Actiniaria,Actiniidae,Urticina,felina,100834,Urticina felina,URFE,NA,Northern Red Anemone
Animalia,Cnidaria,Hexacorallia,Actiniaria,Diadumenidae,Diadumene,lineata,395099,Diadumene lineata,DILI,NA,orange stripped green anemone
Animalia,Cnidaria,Hexacorallia,Actiniaria,Edwardsiidae,Edwardsiella,lineata,283549,Fagesia lineata,EDLI,NA,tiny white anemone
Animalia,Cnidaria,Hexacorallia,Actiniaria,Metridiidae,Metridium,senile,100982,Metridium senile,MESE,NA,Clonal Plumose Anemone
Animalia,Cnidaria,Hexacorallia,Ceriantharia,Synarachnacidae,Synarachnactis,lloydii,1674631,Synarachnactis lloydi,SYLL,NA,Northern cerianthid
Animalia,Cnidaria,Hydrozoa,Anthoathecata,Tubulariidae,Ectopleura,-,117254,Ectopleura sp.,ECSP,NA,pink hearted hydroid
Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Obelia,-,117034,Obelia spp.,OBSP,NA,thread hydroids
Animalia,Cnidaria,Hydrozoa,Leptothecata,Sertulariidae,Abietinaria,abietina,117870,Abietinaria abietina,ABAB,NA,sea fir
Animalia,Cnidaria,Hydrozoa,Leptothecata,Sertulariidae,Sertularia,-,117234,Sertularia sp.,SESP,NA,sea fir
Animalia,Cnidaria,Octocorallia,Malacalcyonacea,Alcyoniidae,Gersemia,rubiformis,156103,Gersemia rubiformis,GERU,NA,sea strawberry
Animalia,Cnidaria,Octocorallia,Malacalcyonacea,Alcyoniidae,Alcyonium,digitatum,125333,Alcyonium digitatum,ALDI,NA,Dead man's fingers
Animalia,Cnidaria,Staurozoa,Stauromedusae,Haliclystidae,Haliclystus,-,135275,Haliclystus spp.,HASP,NA,Stalked Jelly
Animalia,Ctenophora,Tentaculata,Cydippida,Cydippidae,Pleurobrachia,pileus,106386,Pleurobrachia pileus,PLPI,NA,NA
Animalia,Ctenophora,Tentaculata,Lobata,Bolinopsidae,Mnemiopsis,leidyi,106401,Mnemiopsis leidyi,MNLE,NA,lobate comb jelly
Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Asterias,forbesi,158489,Asterias forbesi,ASFO,NA,Forbes Star
Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Asterias,rubens,123776,Asterias rubens,ASRU,NA,Common Star
Animalia,Echinodermata,Asteroidea,Spinulosida,Echinasteridae,Henricia,sanguinolenta,123974,Henricia sanguinolenta,HESG,NA,Blood Star
Animalia,Echinodermata,Asteroidea,Valvatida,Solasteridae,Crossaster,papposus,124154,Crossaster papposus,CRPA,NA,Spiny Sun Star
Animalia,Echinodermata,Asteroidea,Valvatida,Solasteridae,Solaster,endeca,124160,Solaster endeca,SOEN,NA,Smooth Sun Star
Animalia,Echinodermata,Echinoidea,Arbacioida,Arbaciidae,Arbacia,punctulata,158058,Arbacia punctulata,ARPL,NA,Purple Sea Urchin
Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Strongylocentrotus,droebachiensis,124321,Strongylocentrotus droebachiensis,STDR,NA,Green Sea Urchin
Animalia,Echinodermata,Echinoidea,Echinolampadacea,Echinarachniidae,Echinarachnius,parma,158062,Echinarachnius parma,ECPA,NA,common sand dollar
Animalia,Echinodermata,Holothuroidea,Dendrochirotida,Cucumariidae,Cucumaria,frondosa,124612,Cucumaria frondosa,CUFR,NA,orange footed cucumber
Animalia,Echinodermata,Holothuroidea,Dendrochirotida,Psolidae,Psolus,fabricii,124703,Psolus fabricii,PSFA,NA,scarlet cucumber
Animalia,Echinodermata,Ophiuroidea,Amphilepidida,Ophiopholidae,Ophiopholis,aculeata,125125,Ophiopholis aculeata,OPAC,NA,daisy brittlestar
Animalia,Echinodermata,Ophiuroidea,Amphilepidida,Ophiopholidae,Ophiopholis,-,123622,Ophiopholis sp.,OPHI,NA,NA
Animalia,Mollusca,Bivalvia,Adapedonta,Hiatellidae,Hiatella,arctica,140103,Hiatella arctica,HIAR,NA,NA
Animalia,Mollusca,Bivalvia,Myida,Myidae,Mya,arenaria,140430,Mya arenaria,MYAR,NA,"Soft-shelled clam, steamer"
Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Geukensia,demissa,156859,Geukensia demissa,GEDE,NA,NA
Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Modiolus,modiolus,140467,Modiolus modiolus,MOMO,NA,Northern Horse Mussel
Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Mytilus,edulis,140480,Mytilus edulis,MYED,NA,Blue Mussel
Animalia,Mollusca,Bivalvia,Ostreida,Ostreidae,Crassostrea,virginica,140657,Crassostrea virginica,CRVI,NA,Native/eastern Oyster
Animalia,Mollusca,Bivalvia,Ostreida,Ostreidae,Ostrea,edulis,138298,Ostrea edulis,OSED,NA,European flat Oyster
Animalia,Mollusca,Bivalvia,Pectinida,Anomiidae,Anomia,-,137650,Anomia sp.,ANSP,NA,jingle shell
Animalia,Mollusca,Bivalvia,Pectinida,Anomiidae,Anomia,simplex,156737,Anomia simplex,ANSI,NA,NA
Animalia,Mollusca,Bivalvia,Pectinida,Anomiidae,Heteranomia,squamula,138749,Heteranomia squamula,HESQ,NA,NA
Animalia,Mollusca,Bivalvia,Pectinida,Pectinidae,Placopecten,magellanicus,156972,Placopecten magellanicus,PLMA,NA,Atlantic Sea Scallop
Animalia,Mollusca,Bivalvia,Venerida,Mactridae,Spisula,solidissima,156996,Spisula solidissima,SPSO,NA,Atlantic surf clam
Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Mercenaria,mercenaria,141919,Mercenaria mercenaria,MERM,NA,Quahog
Animalia,Mollusca,Cephalopoda,Octopoda,Octopodidae,Octopus,-,138268,Octopus sp.,OCTO,NA,octopods
Animalia,Mollusca,Gastropoda,Littorinimorpha,Calyptraeidae,Crepidula,fornicata,138963,Crepidula fornicata,CRFO,NA,Slipper Snail
Animalia,Mollusca,Gastropoda,Littorinimorpha,Calyptraeidae,Crepidula,plana,160230,Crepidula plana,CRPL,NA,Eastern white slippersnail
Animalia,Mollusca,Gastropoda,Littorinimorpha,Calyptraeidae,Crepidula,-,137722,Crepidula spp.,CRSP,NA,NA
Animalia,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Lacuna,vincta,140170,Lacuna vincta,LAVI,NA,NA
Animalia,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Littorina,littorea,140262,Littorina littorea,LILI,NA,Periwinkle Snail
Animalia,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Littorina,obtusata,140263,Littorina obtusata,LIOB,NA,NA
Animalia,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Littorina,saxatilis,140264,Littorina saxatilis,LISA,NA,NA
Animalia,Mollusca,Gastropoda,Littorinimorpha,Naticidae,Euspira,heros,160315,Euspira heros,EUHE,NA,Moon Snail
Animalia,Mollusca,Gastropoda,Littorinimorpha,Naticidae,Neverita,duplicata,160407,Neverita duplicatus,NEDU,NA,Southern Moon snail
Animalia,Mollusca,Gastropoda,Littorinimorpha,Vermetidae,Thylacodes,-,598651,Thylacodes spp.,THSP,NA,NA
Animalia,Mollusca,Gastropoda,Neogastropoda,Buccinidae,Buccinum,undatum,138878,Buccinum undatum,BUUN,NA,Wavy Whelk
Animalia,Mollusca,Gastropoda,Neogastropoda,Buccinidae,Neptunea,decemcostata,491164,Neptunea decemcostata,NEDE,NA,10-ring Whelk
Animalia,Mollusca,Gastropoda,Neogastropoda,Busyconidae,Busycon,carica,160185,Busycon carica,BUCR,NA,Knobbed Whelk
Animalia,Mollusca,Gastropoda,Neogastropoda,Busyconidae,Busycotypus,canaliculatus,160192,Busycotypus canaliculatus,BUCA,NA,Channeled Whelk
Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Nucella,lapillus,140403,Nucella lapillus,NULA,NA,Dog whelk
Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Urosalpinx,cinerea,140429,Urosalpinx cinerea,URCI,NA,NA
Animalia,Mollusca,Gastropoda,Neogastropoda,Nassariidae,Ilyanassa,obsoleta,467490,Ilyanassa obsoleta,ILOB,NA,eastern mudsnail
Animalia,Mollusca,Gastropoda,Patellogastropoda,Lottiidae,Testudinalia,testudinalis,234208,Testudinalia testudinalis,TETE,NA,Plate Limpet
Animalia,Mollusca,Gastropoda,Trochida,Calliostomatidae,Calliostoma,occidentale,141765,Calliostoma occidentale,CAOC,NA,Stripped Whelk
Animalia,Mollusca,Polyplacophora,Chitonida,Ischnochitonidae,Stenosemus,albus,147773,Stenosemus albus,STAL,NA,White Chiton
Animalia,Mollusca,Polyplacophora,Chitonida,Tonicellidae,Boreochiton,ruber,386411,Boreochiton ruber,BORU,NA,Red Chition
Animalia,Porifera,-,-,-,-,-,558,Unknown Poriferan,UNPR,NA,NA
Animalia,Porifera,Calcarea,Leucosolenida,Leucosoleniidae,Leucosolenia,-,131715,Leucosolenia sp.,LEUC,NA,NA
Animalia,Porifera,Calcarea,Leucosolenida,Syconidae,Sycon,-,131723,Sycon spp.,SYSP,NA,NA
Animalia,Porifera,Demospongiae,Chondrillida,Halisarcidae,Halisarca,dujardinii,132736,Halisarca dujardini,HADU,NA,NA
Animalia,Porifera,Demospongiae,Clionaida,Clionaidae,Cliona,-,132026,Cliona sp.,CLSP,NA,NA
